"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|ES","Biomass","286.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|ES","Fossil Brown coal/Lignite","0.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|ES","Fossil Coal-derived gas","0.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|ES","Fossil Gas","5601.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|ES","Fossil Hard coal","1919.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|ES","Fossil Oil","158.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|ES","Fossil Oil shale","0.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|ES","Fossil Peat","0.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|ES","Geothermal","0.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|ES","Hydro Pumped Storage"," "
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|ES","Hydro Run-of-river and poundage","983.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|ES","Hydro Water Reservoir","1683.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|ES","Marine","0.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|ES","Nuclear","6073.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|ES","Other renewable","89.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|ES","Solar","31.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|ES","Waste","287.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|ES","Wind Offshore","0.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|ES","Wind Onshore","3809.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|ES","Other","61.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|ES","Energy storage","n/e"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|ES","Biomass","296.00"
