"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|ES","Biomass","247.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|ES","Fossil Brown coal/Lignite","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|ES","Fossil Coal-derived gas","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|ES","Fossil Gas","4437.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|ES","Fossil Hard coal","280.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|ES","Fossil Oil","21.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|ES","Fossil Oil shale","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|ES","Fossil Peat","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|ES","Geothermal","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|ES","Hydro Pumped Storage","1229.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|ES","Hydro Run-of-river and poundage","1009.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|ES","Hydro Water Reservoir","2238.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|ES","Marine","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|ES","Nuclear","7096.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|ES","Other","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|ES","Other renewable","76.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|ES","Solar","28.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|ES","Energy storage","n/e"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|ES","Waste","243.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|ES","Wind Offshore","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|ES","Wind Onshore","5479.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|ES","Biomass","235.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|ES","Fossil Brown coal/Lignite","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|ES","Fossil Coal-derived gas","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|ES","Fossil Gas","4331.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|ES","Fossil Hard coal","275.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|ES","Fossil Oil","20.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|ES","Fossil Oil shale","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|ES","Fossil Peat","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|ES","Geothermal","0.00"
