"Time (CET/CEST)","France (FR) > Spain (ES) [MW]","Spain (ES) > France (FR) [MW]"
"01.01.2024 00:00 - 01.01.2024 00:15","2892","0"
"01.01.2024 00:15 - 01.01.2024 00:30","2755","0"
"01.01.2024 00:30 - 01.01.2024 00:45","2543","0"
"01.01.2024 00:45 - 01.01.2024 01:00","2445","0"
"01.01.2024 01:00 - 01.01.2024 01:15","2518","0"
"01.01.2024 01:15 - 01.01.2024 01:30","2545","0"
"01.01.2024 01:30 - 01.01.2024 01:45","2455","0"
"01.01.2024 01:45 - 01.01.2024 02:00","2492","0"
"01.01.2024 02:00 - 01.01.2024 02:15","2635","0"
"01.01.2024 02:15 - 01.01.2024 02:30","2579","0"
"01.01.2024 02:30 - 01.01.2024 02:45","2478","0"
"01.01.2024 02:45 - 01.01.2024 03:00","2500","0"
"01.01.2024 03:00 - 01.01.2024 03:15","2456","0"
"01.01.2024 03:15 - 01.01.2024 03:30","2246","0"
"01.01.2024 03:30 - 01.01.2024 03:45","2310","0"
"01.01.2024 03:45 - 01.01.2024 04:00","2289","0"
"01.01.2024 04:00 - 01.01.2024 04:15","2543","0"
"01.01.2024 04:15 - 01.01.2024 04:30","2521","0"
"01.01.2024 04:30 - 01.01.2024 04:45","2529","0"
"01.01.2024 04:45 - 01.01.2024 05:00","2525","0"
"01.01.2024 05:00 - 01.01.2024 05:15","2574","0"
"01.01.2024 05:15 - 01.01.2024 05:30","2568","0"
"01.01.2024 05:30 - 01.01.2024 05:45","2439","0"
"01.01.2024 05:45 - 01.01.2024 06:00","2496","0"
"01.01.2024 06:00 - 01.01.2024 06:15","2439","0"
"01.01.2024 06:15 - 01.01.2024 06:30","2476","0"
"01.01.2024 06:30 - 01.01.2024 06:45","2374","0"
"01.01.2024 06:45 - 01.01.2024 07:00","2440","0"
"01.01.2024 07:00 - 01.01.2024 07:15","2426","0"
"01.01.2024 07:15 - 01.01.2024 07:30","2607","0"
"01.01.2024 07:30 - 01.01.2024 07:45","2399","0"
"01.01.2024 07:45 - 01.01.2024 08:00","2489","0"
"01.01.2024 08:00 - 01.01.2024 08:15","2618","0"
"01.01.2024 08:15 - 01.01.2024 08:30","2673","0"
"01.01.2024 08:30 - 01.01.2024 08:45","2672","0"
"01.01.2024 08:45 - 01.01.2024 09:00","2711","0"
"01.01.2024 09:00 - 01.01.2024 09:15","2731","0"
"01.01.2024 09:15 - 01.01.2024 09:30","2798","0"
"01.01.2024 09:30 - 01.01.2024 09:45","2765","0"
"01.01.2024 09:45 - 01.01.2024 10:00","2447","0"
"01.01.2024 10:00 - 01.01.2024 10:15","2528","0"
"01.01.2024 10:15 - 01.01.2024 10:30","2954","0"
"01.01.2024 10:30 - 01.01.2024 10:45","2969","0"
"01.01.2024 10:45 - 01.01.2024 11:00","2899","0"
"01.01.2024 11:00 - 01.01.2024 11:15","2891","0"
"01.01.2024 11:15 - 01.01.2024 11:30","2633","0"
"01.01.2024 11:30 - 01.01.2024 11:45","2189","0"
"01.01.2024 11:45 - 01.01.2024 12:00","2217","0"
"01.01.2024 12:00 - 01.01.2024 12:15","2369","0"
