"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Energy Price (EUR/MWh)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|ES","Without sequence","63.33",""
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|ES","Without sequence","50.09",""
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|ES","Without sequence","47.5",""
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|ES","Without sequence","43.5",""
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|ES","Without sequence","42.5",""
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|ES","Without sequence","42.09",""
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|ES","Without sequence","42.5",""
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|ES","Without sequence","42.59",""
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|ES","Without sequence","43.37",""
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|ES","Without sequence","42.29",""
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|ES","Without sequence","25.0",""
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|ES","Without sequence","3.9",""
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|ES","Without sequence","3.2",""
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|ES","Without sequence","2.06",""
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|ES","Without sequence","1.73",""
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|ES","Without sequence","5.72",""
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|ES","Without sequence","18.49",""
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|ES","Without sequence","37.0",""
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|ES","Without sequence","47.5",""
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|ES","Without sequence","54.97",""
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|ES","Without sequence","60.9",""
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|ES","Without sequence","60.0",""
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|ES","Without sequence","47.5",""
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|ES","Without sequence","42.09",""
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","BZN|ES","Without sequence","37.8",""
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","BZN|ES","Without sequence","25.0",""
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","BZN|ES","Without sequence","3.99",""
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","BZN|ES","Without sequence","14.0",""
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","BZN|ES","Without sequence","10.0",""
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","BZN|ES","Without sequence","14.54",""
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","BZN|ES","Without sequence","36.29",""
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","BZN|ES","Without sequence","44.7",""
"02/01/2024 08:00:00 - 02/01/2024 09:00:00","BZN|ES","Without sequence","53.78",""
"02/01/2024 09:00:00 - 02/01/2024 10:00:00","BZN|ES","Without sequence","54.23",""
"02/01/2024 10:00:00 - 02/01/2024 11:00:00","BZN|ES","Without sequence","50.0",""
"02/01/2024 11:00:00 - 02/01/2024 12:00:00","BZN|ES","Without sequence","52.2",""
"02/01/2024 12:00:00 - 02/01/2024 13:00:00","BZN|ES","Without sequence","45.0",""
"02/01/2024 13:00:00 - 02/01/2024 14:00:00","BZN|ES","Without sequence","43.0",""
"02/01/2024 14:00:00 - 02/01/2024 15:00:00","BZN|ES","Without sequence","43.0",""
"02/01/2024 15:00:00 - 02/01/2024 16:00:00","BZN|ES","Without sequence","40.99",""
"02/01/2024 16:00:00 - 02/01/2024 17:00:00","BZN|ES","Without sequence","43.66",""
"02/01/2024 17:00:00 - 02/01/2024 18:00:00","BZN|ES","Without sequence","52.2",""
"02/01/2024 18:00:00 - 02/01/2024 19:00:00","BZN|ES","Without sequence","57.77",""
"02/01/2024 19:00:00 - 02/01/2024 20:00:00","BZN|ES","Without sequence","62.45",""
"02/01/2024 20:00:00 - 02/01/2024 21:00:00","BZN|ES","Without sequence","58.0",""
"02/01/2024 21:00:00 - 02/01/2024 22:00:00","BZN|ES","Without sequence","52.83",""
"02/01/2024 22:00:00 - 02/01/2024 23:00:00","BZN|ES","Without sequence","46.26",""
"02/01/2024 23:00:00 - 03/01/2024 00:00:00","BZN|ES","Without sequence","40.1",""
"03/01/2024 00:00:00 - 03/01/2024 01:00:00","BZN|ES","Without sequence","6.8",""
"03/01/2024 01:00:00 - 03/01/2024 02:00:00","BZN|ES","Without sequence","3.2",""
"03/01/2024 02:00:00 - 03/01/2024 03:00:00","BZN|ES","Without sequence","3.2",""
