 "MTU","AREA","Day ahead total load forecast (MW)","Actual total load (MW)"
 "01/01/2024 00:00:00 - 01/01/2024 00:15:00","BZN|ES","21981.00","22460.00"
 "01/01/2024 00:15:00 - 01/01/2024 00:30:00","BZN|ES","21863.00","22060.00"
 "01/01/2024 00:30:00 - 01/01/2024 00:45:00","BZN|ES","21807.00","21880.00"
 "01/01/2024 00:45:00 - 01/01/2024 01:00:00","BZN|ES","21767.00","21788.00"
 "01/01/2024 01:00:00 - 01/01/2024 01:15:00","BZN|ES","21890.00","21648.00"
 "01/01/2024 01:15:00 - 01/01/2024 01:30:00","BZN|ES","21715.00","21508.00"
 "01/01/2024 01:30:00 - 01/01/2024 01:45:00","BZN|ES","21410.00","21312.00"
 "01/01/2024 01:45:00 - 01/01/2024 02:00:00","BZN|ES","21012.00","21044.00"
 "01/01/2024 02:00:00 - 01/01/2024 02:15:00","BZN|ES","20525.00","20748.00"
 "01/01/2024 02:15:00 - 01/01/2024 02:30:00","BZN|ES","20113.00","20416.00"
 "01/01/2024 02:30:00 - 01/01/2024 02:45:00","BZN|ES","19766.00","20144.00"
 "01/01/2024 02:45:00 - 01/01/2024 03:00:00","BZN|ES","19479.00","19836.00"
 "01/01/2024 03:00:00 - 01/01/2024 03:15:00","BZN|ES","19202.00","19520.00"
 "01/01/2024 03:15:00 - 01/01/2024 03:30:00","BZN|ES","18976.00","19192.00"
 "01/01/2024 03:30:00 - 01/01/2024 03:45:00","BZN|ES","18757.00","18900.00"
 "01/01/2024 03:45:00 - 01/01/2024 04:00:00","BZN|ES","18548.00","18684.00"
 "01/01/2024 04:00:00 - 01/01/2024 04:15:00","BZN|ES","18301.00","18500.00"
 "01/01/2024 04:15:00 - 01/01/2024 04:30:00","BZN|ES","18140.00","18336.00"
 "01/01/2024 04:30:00 - 01/01/2024 04:45:00","BZN|ES","18013.00","18172.00"
 "01/01/2024 04:45:00 - 01/01/2024 05:00:00","BZN|ES","17927.00","18036.00"
 "01/01/2024 05:00:00 - 01/01/2024 05:15:00","BZN|ES","17792.00","17908.00"
 "01/01/2024 05:15:00 - 01/01/2024 05:30:00","BZN|ES","17797.00","17948.00"
 "01/01/2024 05:30:00 - 01/01/2024 05:45:00","BZN|ES","17850.00","17888.00"
 "01/01/2024 05:45:00 - 01/01/2024 06:00:00","BZN|ES","17941.00","17852.00"
 "01/01/2024 06:00:00 - 01/01/2024 06:15:00","BZN|ES","18044.00","17824.00"
 "01/01/2024 06:15:00 - 01/01/2024 06:30:00","BZN|ES","18177.00","17988.00"
 "01/01/2024 06:30:00 - 01/01/2024 06:45:00","BZN|ES","18311.00","18048.00"
 "01/01/2024 06:45:00 - 01/01/2024 07:00:00","BZN|ES","18435.00","18108.00"
 "01/01/2024 07:00:00 - 01/01/2024 07:15:00","BZN|ES","18606.00","18176.00"
 "01/01/2024 07:15:00 - 01/01/2024 07:30:00","BZN|ES","18673.00","18344.00"
 "01/01/2024 07:30:00 - 01/01/2024 07:45:00","BZN|ES","18698.00","18420.00"
 "01/01/2024 07:45:00 - 01/01/2024 08:00:00","BZN|ES","18701.00","18512.00"
 "01/01/2024 08:00:00 - 01/01/2024 08:15:00","BZN|ES","18643.00","18552.00"
 "01/01/2024 08:15:00 - 01/01/2024 08:30:00","BZN|ES","18672.00","18548.00"
 "01/01/2024 08:30:00 - 01/01/2024 08:45:00","BZN|ES","18747.00","18464.00"
 "01/01/2024 08:45:00 - 01/01/2024 09:00:00","BZN|ES","18862.00","18344.00"
 "01/01/2024 09:00:00 - 01/01/2024 09:15:00","BZN|ES","18972.00","18312.00"
 "01/01/2024 09:15:00 - 01/01/2024 09:30:00","BZN|ES","19140.00","18504.00"
 "01/01/2024 09:30:00 - 01/01/2024 09:45:00","BZN|ES","19321.00","18712.00"
 "01/01/2024 09:45:00 - 01/01/2024 10:00:00","BZN|ES","19511.00","18856.00"
 "01/01/2024 10:00:00 - 01/01/2024 10:15:00","BZN|ES","19712.00","19028.00"
 "01/01/2024 10:15:00 - 01/01/2024 10:30:00","BZN|ES","19911.00","19220.00"
 "01/01/2024 10:30:00 - 01/01/2024 10:45:00","BZN|ES","20109.00","19572.00"
 "01/01/2024 10:45:00 - 01/01/2024 11:00:00","BZN|ES","20296.00","20372.00"
 "01/01/2024 11:00:00 - 01/01/2024 11:15:00","BZN|ES","20525.00","20640.00"
 "01/01/2024 11:15:00 - 01/01/2024 11:30:00","BZN|ES","20663.00","20820.00"
 "01/01/2024 11:30:00 - 01/01/2024 11:45:00","BZN|ES","20765.00","20992.00"
 "01/01/2024 11:45:00 - 01/01/2024 12:00:00","BZN|ES","20844.00","21128.00"
 "01/01/2024 12:00:00 - 01/01/2024 12:15:00","BZN|ES","20886.00","21136.00"
 "01/01/2024 12:15:00 - 01/01/2024 12:30:00","BZN|ES","20972.00","21168.00"
 "01/01/2024 12:30:00 - 01/01/2024 12:45:00","BZN|ES","21083.00","21188.00"
 "01/01/2024 12:45:00 - 01/01/2024 13:00:00","BZN|ES","21224.00","21200.00"
 "01/01/2024 13:00:00 - 01/01/2024 13:15:00","BZN|ES","21353.00","21160.00"
 "01/01/2024 13:15:00 - 01/01/2024 13:30:00","BZN|ES","21552.00","21216.00"
 "01/01/2024 13:30:00 - 01/01/2024 13:45:00","BZN|ES","21772.00","21352.00"
 "01/01/2024 13:45:00 - 01/01/2024 14:00:00","BZN|ES","21978.00","21404.00"
 "01/01/2024 14:00:00 - 01/01/2024 14:15:00","BZN|ES","22340.00","21580.00"
 "01/01/2024 14:15:00 - 01/01/2024 14:30:00","BZN|ES","22382.00","21736.00"
 "01/01/2024 14:30:00 - 01/01/2024 14:45:00","BZN|ES","22292.00","21576.00"
 "01/01/2024 14:45:00 - 01/01/2024 15:00:00","BZN|ES","22107.00","21304.00"
 "01/01/2024 15:00:00 - 01/01/2024 15:15:00","BZN|ES","21821.00","21084.00"
 "01/01/2024 15:15:00 - 01/01/2024 15:30:00","BZN|ES","21619.00","20860.00"
 "01/01/2024 15:30:00 - 01/01/2024 15:45:00","BZN|ES","21481.00","20772.00"
 "01/01/2024 15:45:00 - 01/01/2024 16:00:00","BZN|ES","21416.00","20652.00"
 "01/01/2024 16:00:00 - 01/01/2024 16:15:00","BZN|ES","21283.00","20616.00"
 "01/01/2024 16:15:00 - 01/01/2024 16:30:00","BZN|ES","21351.00","20680.00"
 "01/01/2024 16:30:00 - 01/01/2024 16:45:00","BZN|ES","21484.00","20768.00"
 "01/01/2024 16:45:00 - 01/01/2024 17:00:00","BZN|ES","21693.00","20984.00"
 "01/01/2024 17:00:00 - 01/01/2024 17:15:00","BZN|ES","21805.00","21280.00"
 "01/01/2024 17:15:00 - 01/01/2024 17:30:00","BZN|ES","22211.00","21652.00"
 "01/01/2024 17:30:00 - 01/01/2024 17:45:00","BZN|ES","22728.00","21984.00"
